x insufficient partial complete
27.00 1.000000 0.000000 0.000000
27.50 1.000000 0.000000 0.000000
28.00 1.000000 0.000000 0.000000
28.50 1.000000 0.000000 0.000000
29.00 1.000000 0.000000 0.000000
29.50 1.000000 0.000000 0.000000
30.00 1.000000 0.000000 0.000000
30.50 1.000000 0.000000 0.000000
31.00 1.000000 0.000000 0.000000
31.50 1.000000 0.000000 0.000000
32.00 1.000000 0.000000 0.000000
32.50 1.000000 0.000000 0.000000
33.00 1.000000 0.000000 0.000000
33.50 1.000000 0.000000 0.000000
34.00 1.000000 0.000000 0.000000
34.50 1.000000 0.000000 0.000000
35.00 1.000000 0.000000 0.000000
35.50 1.000000 0.000000 0.000000
36.00 1.000000 0.000000 0.000000
36.50 1.000000 0.000000 0.000000
37.00 1.000000 0.000000 0.000000
37.50 1.000000 0.000000 0.000000
38.00 1.000000 0.000000 0.000000
38.50 1.000000 0.000000 0.000000
39.00 1.000000 0.000000 0.000000
39.50 1.000000 0.000000 0.000000
40.00 1.000000 0.000000 0.000000
40.50 1.000000 0.000000 0.000000
41.00 1.000000 0.000000 0.000000
41.50 1.000000 0.000000 0.000000
42.00 1.000000 0.000000 0.000000
42.50 1.000000 0.000000 0.000000
43.00 1.000000 0.000000 0.000000
43.50 1.000000 0.000000 0.000000
44.00 1.000000 0.000000 0.000000
44.50 1.000000 0.000000 0.000000
45.00 1.000000 0.000000 0.000000
45.50 0.966667 0.000000 0.000000
46.00 0.933333 0.000000 0.000000
46.50 0.900000 0.000000 0.000000
47.00 0.866667 0.000000 0.000000
47.50 0.833333 0.000000 0.000000
48.00 0.800000 0.000000 0.000000
48.50 0.766667 0.000000 0.000000
49.00 0.733333 0.000000 0.000000
49.50 0.700000 0.000000 0.000000
50.00 0.666667 0.000000 0.000000
50.50 0.633333 0.025000 0.000000
51.00 0.600000 0.050000 0.000000
51.50 0.566667 0.075000 0.000000
52.00 0.533333 0.100000 0.000000
52.50 0.500000 0.125000 0.000000
53.00 0.466667 0.150000 0.000000
53.50 0.433333 0.175000 0.000000
54.00 0.400000 0.200000 0.000000
54.50 0.366667 0.225000 0.000000
55.00 0.333333 0.250000 0.000000
55.50 0.300000 0.275000 0.000000
56.00 0.266667 0.300000 0.000000
56.50 0.233333 0.325000 0.000000
57.00 0.200000 0.350000 0.000000
57.50 0.166667 0.375000 0.000000
58.00 0.133333 0.400000 0.000000
58.50 0.100000 0.425000 0.000000
59.00 0.066667 0.450000 0.000000
59.50 0.033333 0.475000 0.000000
60.00 0.000000 0.500000 0.000000
60.50 0.000000 0.525000 0.000000
61.00 0.000000 0.550000 0.000000
61.50 0.000000 0.575000 0.000000
62.00 0.000000 0.600000 0.000000
62.50 0.000000 0.625000 0.000000
63.00 0.000000 0.650000 0.000000
63.50 0.000000 0.675000 0.000000
64.00 0.000000 0.700000 0.000000
64.50 0.000000 0.725000 0.000000
65.00 0.000000 0.750000 0.000000
65.50 0.000000 0.775000 0.000000
66.00 0.000000 0.800000 0.000000
66.50 0.000000 0.825000 0.000000
67.00 0.000000 0.850000 0.000000
67.50 0.000000 0.875000 0.000000
68.00 0.000000 0.900000 0.000000
68.50 0.000000 0.925000 0.000000
69.00 0.000000 0.950000 0.000000
69.50 0.000000 0.975000 0.000000
70.00 0.000000 1.000000 0.000000
70.50 0.000000 0.966667 0.000000
71.00 0.000000 0.933333 0.000000
71.50 0.000000 0.900000 0.000000
72.00 0.000000 0.866667 0.000000
72.50 0.000000 0.833333 0.000000
73.00 0.000000 0.800000 0.000000
73.50 0.000000 0.766667 0.000000
74.00 0.000000 0.733333 0.000000
74.50 0.000000 0.700000 0.000000
75.00 0.000000 0.666667 0.000000
75.50 0.000000 0.633333 0.000000
76.00 0.000000 0.600000 0.000000
76.50 0.000000 0.566667 0.000000
77.00 0.000000 0.533333 0.000000
77.50 0.000000 0.500000 0.000000
78.00 0.000000 0.466667 0.000000
78.50 0.000000 0.433333 0.041667
79.00 0.000000 0.400000 0.083333
79.50 0.000000 0.366667 0.125000
80.00 0.000000 0.333333 0.166667
80.50 0.000000 0.300000 0.208333
81.00 0.000000 0.266667 0.250000
81.50 0.000000 0.233333 0.291667
82.00 0.000000 0.200000 0.333333
82.50 0.000000 0.166667 0.375000
83.00 0.000000 0.133333 0.416667
83.50 0.000000 0.100000 0.458333
84.00 0.000000 0.066667 0.500000
84.50 0.000000 0.033333 0.541667
85.00 0.000000 0.000000 0.583333
85.50 0.000000 0.000000 0.625000
86.00 0.000000 0.000000 0.666667
86.50 0.000000 0.000000 0.708333
87.00 0.000000 0.000000 0.750000
87.50 0.000000 0.000000 0.791667
88.00 0.000000 0.000000 0.833333
88.50 0.000000 0.000000 0.875000
89.00 0.000000 0.000000 0.916667
89.50 0.000000 0.000000 0.958333
90.00 0.000000 0.000000 1.000000
90.50 0.000000 0.000000 1.000000
91.00 0.000000 0.000000 1.000000
91.50 0.000000 0.000000 1.000000
92.00 0.000000 0.000000 1.000000
92.50 0.000000 0.000000 1.000000
93.00 0.000000 0.000000 1.000000
93.50 0.000000 0.000000 1.000000
94.00 0.000000 0.000000 1.000000
94.50 0.000000 0.000000 1.000000
95.00 0.000000 0.000000 1.000000
95.50 0.000000 0.000000 1.000000
96.00 0.000000 0.000000 1.000000
96.50 0.000000 0.000000 1.000000
97.00 0.000000 0.000000 1.000000
97.50 0.000000 0.000000 1.000000
98.00 0.000000 0.000000 1.000000
98.50 0.000000 0.000000 1.000000
99.00 0.000000 0.000000 1.000000
99.50 0.000000 0.000000 1.000000
100.00 0.000000 0.000000 1.000000
